age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary
24~46,*,43323~254202,*,9~14,*,*,*,*,*,0~4386,0~1762,35~50,*, <=50k
24~46,*,43323~254202,*,9~14,*,*,*,*,*,0~4386,0~1762,35~50,*, <=50k
24~46,*,43323~254202,*,9~14,*,*,*,*,*,0~4386,0~1762,35~50,*, <=50k
24~46,*,43323~254202,*,9~14,*,*,*,*,*,0~4386,0~1762,35~50,*, <=50k
24~46,*,43323~254202,*,9~14,*,*,*,*,*,0~4386,0~1762,35~50,*, >50k
20~61,*,34310~163127,*,9~11,*,*,*,*,*,0,0,20~60, United-States, <=50k
20~61,*,34310~163127,*,9~11,*,*,*,*,*,0,0,20~60, United-States, <=50k
20~61,*,34310~163127,*,9~11,*,*,*,*,*,0,0,20~60, United-States, <=50k
20~61,*,34310~163127,*,9~11,*,*,*,*,*,0,0,20~60, United-States, >50k
20~61,*,34310~163127,*,9~11,*,*,*,*,*,0,0,20~60, United-States, <=50k
19~70, Private,105376~316868,*,9~11, Never-married,*,*,*,*,0,0~1564,30~40,*, <=50k
19~70, Private,105376~316868,*,9~11, Never-married,*,*,*,*,0,0~1564,30~40,*, <=50k
19~70, Private,105376~316868,*,9~11, Never-married,*,*,*,*,0,0~1564,30~40,*, >50k
19~70, Private,105376~316868,*,9~11, Never-married,*,*,*,*,0,0~1564,30~40,*, <=50k
19~70, Private,105376~316868,*,9~11, Never-married,*,*,*,*,0,0~1564,30~40,*, <=50k
22~64,*,108293~186009,*,7~10,*,*,*, White,*,0,0~2179,24~40,*, <=50k
22~64,*,108293~186009,*,7~10,*,*,*, White,*,0,0~2179,24~40,*, <=50k
22~64,*,108293~186009,*,7~10,*,*,*, White,*,0,0~2179,24~40,*, <=50k
22~64,*,108293~186009,*,7~10,*,*,*, White,*,0,0~2179,24~40,*, <=50k
22~64,*,108293~186009,*,7~10,*,*,*, White,*,0,0~2179,24~40,*, <=50k
21~52,*,163003~296158,*,9~13,*,*,*,*,*,0,0,35~46,*, <=50k
21~52,*,163003~296158,*,9~13,*,*,*,*,*,0,0,35~46,*, <=50k
21~52,*,163003~296158,*,9~13,*,*,*,*,*,0,0,35~46,*, <=50k
21~52,*,163003~296158,*,9~13,*,*,*,*,*,0,0,35~46,*, >50k
21~52,*,163003~296158,*,9~13,*,*,*,*,*,0,0,35~46,*, <=50k
23~71,*,38317~494223,*,2~13,*,*,*,*,*,0,0~1816,2~60, United-States, <=50k
23~71,*,38317~494223,*,2~13,*,*,*,*,*,0,0~1816,2~60, United-States, <=50k
23~71,*,38317~494223,*,2~13,*,*,*,*,*,0,0~1816,2~60, United-States, <=50k
23~71,*,38317~494223,*,2~13,*,*,*,*,*,0,0~1816,2~60, United-States, <=50k
23~71,*,38317~494223,*,2~13,*,*,*,*,*,0,0~1816,2~60, United-States, <=50k
25~45,*,78374~252752,*,9~14,*,*,*,*,*,0,0,40,*, <=50k
25~45,*,78374~252752,*,9~14,*,*,*,*,*,0,0,40,*, <=50k
25~45,*,78374~252752,*,9~14,*,*,*,*,*,0,0,40,*, <=50k
25~45,*,78374~252752,*,9~14,*,*,*,*,*,0,0,40,*, >50k
25~45,*,78374~252752,*,9~14,*,*,*,*,*,0,0,40,*, <=50k
18~66,*,25828~235485,*,7~14,*,*,*, White,*,0,0~1980,16~42, United-States, <=50k
18~66,*,25828~235485,*,7~14,*,*,*, White,*,0,0~1980,16~42, United-States, <=50k
18~66,*,25828~235485,*,7~14,*,*,*, White,*,0,0~1980,16~42, United-States, <=50k
18~66,*,25828~235485,*,7~14,*,*,*, White,*,0,0~1980,16~42, United-States, <=50k
18~66,*,25828~235485,*,7~14,*,*,*, White,*,0,0~1980,16~42, United-States, <=50k
27~51,*,96062~428030,*,9~13,*,*,*, White,*,0,0~1977,25~50, United-States, <=50k
27~51,*,96062~428030,*,9~13,*,*,*, White,*,0,0~1977,25~50, United-States, >50k
27~51,*,96062~428030,*,9~13,*,*,*, White,*,0,0~1977,25~50, United-States, <=50k
27~51,*,96062~428030,*,9~13,*,*,*, White,*,0,0~1977,25~50, United-States, >50k
27~51,*,96062~428030,*,9~13,*,*,*, White,*,0,0~1977,25~50, United-States, <=50k
18~44,*,37274~483777,*,9~13,*,*,*,*, Male,0,0,12~65, United-States, <=50k
18~44,*,37274~483777,*,9~13,*,*,*,*, Male,0,0,12~65, United-States, <=50k
18~44,*,37274~483777,*,9~13,*,*,*,*, Male,0,0,12~65, United-States, <=50k
18~44,*,37274~483777,*,9~13,*,*,*,*, Male,0,0,12~65, United-States, <=50k
18~44,*,37274~483777,*,9~13,*,*,*,*, Male,0,0,12~65, United-States, >50k
30~43,*,29054~633742,*,4~10,*,*,*,*,*,0,0,40~45,*, <=50k
30~43,*,29054~633742,*,4~10,*,*,*,*,*,0,0,40~45,*, <=50k
30~43,*,29054~633742,*,4~10,*,*,*,*,*,0,0,40~45,*, >50k
30~43,*,29054~633742,*,4~10,*,*,*,*,*,0,0,40~45,*, >50k
30~43,*,29054~633742,*,4~10,*,*,*,*,*,0,0,40~45,*, <=50k
31~58,*,99928~155222,*,10~16,*,*,*,*,*,0,0,1~50, United-States, <=50k
31~58,*,99928~155222,*,10~16,*,*,*,*,*,0,0,1~50, United-States, <=50k
31~58,*,99928~155222,*,10~16,*,*,*,*,*,0,0,1~50, United-States, <=50k
31~58,*,99928~155222,*,10~16,*,*,*,*,*,0,0,1~50, United-States, >50k
31~58,*,99928~155222,*,10~16,*,*,*,*,*,0,0,1~50, United-States, <=50k
23~47,*,120939~523910,*,3~13, Married-civ-spouse,*,*,*, Male,0,0,24~45,*, <=50k
23~47,*,120939~523910,*,3~13, Married-civ-spouse,*,*,*, Male,0,0,24~45,*, <=50k
23~47,*,120939~523910,*,3~13, Married-civ-spouse,*,*,*, Male,0,0,24~45,*, <=50k
23~47,*,120939~523910,*,3~13, Married-civ-spouse,*,*,*, Male,0,0,24~45,*, <=50k
23~47,*,120939~523910,*,3~13, Married-civ-spouse,*,*,*, Male,0,0,24~45,*, <=50k
24~40,*,32921~397317,*,9~14,*,*,*, White,*,0~14084,0~1876,40~55, United-States, <=50k
24~40,*,32921~397317,*,9~14,*,*,*, White,*,0~14084,0~1876,40~55, United-States, >50k
24~40,*,32921~397317,*,9~14,*,*,*, White,*,0~14084,0~1876,40~55, United-States, >50k
24~40,*,32921~397317,*,9~14,*,*,*, White,*,0~14084,0~1876,40~55, United-States, <=50k
24~40,*,32921~397317,*,9~14,*,*,*, White,*,0~14084,0~1876,40~55, United-States, <=50k
18~51,*,48211~259323,*,7~13,*,*,*, White,*,0,0~1340,35~50,*, <=50k
18~51,*,48211~259323,*,7~13,*,*,*, White,*,0,0~1340,35~50,*, >50k
18~51,*,48211~259323,*,7~13,*,*,*, White,*,0,0~1340,35~50,*, <=50k
18~51,*,48211~259323,*,7~13,*,*,*, White,*,0,0~1340,35~50,*, <=50k
18~51,*,48211~259323,*,7~13,*,*,*, White,*,0,0~1340,35~50,*, <=50k
17~58,*,36270~210563,*,7~13,*,*,*,*,*,0~15024,0,12~60, United-States, >50k
17~58,*,36270~210563,*,7~13,*,*,*,*,*,0~15024,0,12~60, United-States, <=50k
17~58,*,36270~210563,*,7~13,*,*,*,*,*,0~15024,0,12~60, United-States, >50k
17~58,*,36270~210563,*,7~13,*,*,*,*,*,0~15024,0,12~60, United-States, <=50k
17~58,*,36270~210563,*,7~13,*,*,*,*,*,0~15024,0,12~60, United-States, <=50k
35~60,*,85815~635913,*,4~13,*,*,*,*,*,0,0,40~60, United-States, >50k
35~60,*,85815~635913,*,4~13,*,*,*,*,*,0,0,40~60, United-States, <=50k
35~60,*,85815~635913,*,4~13,*,*,*,*,*,0,0,40~60, United-States, <=50k
35~60,*,85815~635913,*,4~13,*,*,*,*,*,0,0,40~60, United-States, >50k
35~60,*,85815~635913,*,4~13,*,*,*,*,*,0,0,40~60, United-States, >50k
25~50, Private,109434~313321,*,6~13,*,*,*, White,*,0,0,40~55,*, <=50k
25~50, Private,109434~313321,*,6~13,*,*,*, White,*,0,0,40~55,*, <=50k
25~50, Private,109434~313321,*,6~13,*,*,*, White,*,0,0,40~55,*, <=50k
25~50, Private,109434~313321,*,6~13,*,*,*, White,*,0,0,40~55,*, <=50k
25~50, Private,109434~313321,*,6~13,*,*,*, White,*,0,0,40~55,*, <=50k
18~90,*,51744~243313,*,1~9,*,*,*,*,*,0,0~2206,20~40, United-States, <=50k
18~90,*,51744~243313,*,1~9,*,*,*,*,*,0,0~2206,20~40, United-States, <=50k
18~90,*,51744~243313,*,1~9,*,*,*,*,*,0,0~2206,20~40, United-States, <=50k
18~90,*,51744~243313,*,1~9,*,*,*,*,*,0,0~2206,20~40, United-States, <=50k
18~90,*,51744~243313,*,1~9,*,*,*,*,*,0,0~2206,20~40, United-States, <=50k
35~75,*,24215~538583,*,6~11,*,*,*,*,*,0~3674,0,10~50,*, <=50k
35~75,*,24215~538583,*,6~11,*,*,*,*,*,0~3674,0,10~50,*, <=50k
35~75,*,24215~538583,*,6~11,*,*,*,*,*,0~3674,0,10~50,*, <=50k
35~75,*,24215~538583,*,6~11,*,*,*,*,*,0~3674,0,10~50,*, <=50k
35~75,*,24215~538583,*,6~11,*,*,*,*,*,0~3674,0,10~50,*, <=50k
25~59,*,76714~268700,*,9~15,*,*,*,*,*,0,0,38~55, United-States, <=50k
25~59,*,76714~268700,*,9~15,*,*,*,*,*,0,0,38~55, United-States, <=50k
25~59,*,76714~268700,*,9~15,*,*,*,*,*,0,0,38~55, United-States, <=50k
25~59,*,76714~268700,*,9~15,*,*,*,*,*,0,0,38~55, United-States, >50k
25~59,*,76714~268700,*,9~15,*,*,*,*,*,0,0,38~55, United-States, <=50k
23~41,*,115076~347890,*,9~14,*,*,*, White,*,0,0,38~70,*, <=50k
23~41,*,115076~347890,*,9~14,*,*,*, White,*,0,0,38~70,*, >50k
23~41,*,115076~347890,*,9~14,*,*,*, White,*,0,0,38~70,*, >50k
23~41,*,115076~347890,*,9~14,*,*,*, White,*,0,0,38~70,*, <=50k
23~41,*,115076~347890,*,9~14,*,*,*, White,*,0,0,38~70,*, >50k
20~56,*,119156~273905,*,9~12,*,*,*, White,*,0,0~1741,20~50,*, <=50k
20~56,*,119156~273905,*,9~12,*,*,*, White,*,0,0~1741,20~50,*, <=50k
20~56,*,119156~273905,*,9~12,*,*,*, White,*,0,0~1741,20~50,*, <=50k
20~56,*,119156~273905,*,9~12,*,*,*, White,*,0,0~1741,20~50,*, <=50k
20~56,*,119156~273905,*,9~12,*,*,*, White,*,0,0~1741,20~50,*, <=50k
32~58, Private,112763~236596,*,9~15,*,*,*, White,*,0,0~1977,34~60,*, >50k
32~58, Private,112763~236596,*,9~15,*,*,*, White,*,0,0~1977,34~60,*, <=50k
32~58, Private,112763~236596,*,9~15,*,*,*, White,*,0,0~1977,34~60,*, >50k
32~58, Private,112763~236596,*,9~15,*,*,*, White,*,0,0~1977,34~60,*, <=50k
32~58, Private,112763~236596,*,9~15,*,*,*, White,*,0,0~1977,34~60,*, >50k
19~59,*,27382~390781,*,6~13,*,*,*,*,*,0,0,20~40,*, <=50k
19~59,*,27382~390781,*,6~13,*,*,*,*,*,0,0,20~40,*, <=50k
19~59,*,27382~390781,*,6~13,*,*,*,*,*,0,0,20~40,*, <=50k
19~59,*,27382~390781,*,6~13,*,*,*,*,*,0,0,20~40,*, <=50k
19~59,*,27382~390781,*,6~13,*,*,*,*,*,0,0,20~40,*, >50k
20~50, Private,117789~204518,*,4~13,*,*,*, White,*,0,0,30~45, United-States, <=50k
20~50, Private,117789~204518,*,4~13,*,*,*, White,*,0,0,30~45, United-States, <=50k
20~50, Private,117789~204518,*,4~13,*,*,*, White,*,0,0,30~45, United-States, <=50k
20~50, Private,117789~204518,*,4~13,*,*,*, White,*,0,0,30~45, United-States, <=50k
20~50, Private,117789~204518,*,4~13,*,*,*, White,*,0,0,30~45, United-States, <=50k
17~59,*,98092~378322,*,7~10,*,*,*,*, Male,0~4064,0,12~75,*, <=50k
17~59,*,98092~378322,*,7~10,*,*,*,*, Male,0~4064,0,12~75,*, <=50k
17~59,*,98092~378322,*,7~10,*,*,*,*, Male,0~4064,0,12~75,*, <=50k
17~59,*,98092~378322,*,7~10,*,*,*,*, Male,0~4064,0,12~75,*, <=50k
17~59,*,98092~378322,*,7~10,*,*,*,*, Male,0~4064,0,12~75,*, >50k
19~64,*,21174~222205,*,9~13,*,*,*, White,*,0,0,24~45,*, <=50k
19~64,*,21174~222205,*,9~13,*,*,*, White,*,0,0,24~45,*, >50k
19~64,*,21174~222205,*,9~13,*,*,*, White,*,0,0,24~45,*, <=50k
19~64,*,21174~222205,*,9~13,*,*,*, White,*,0,0,24~45,*, >50k
19~64,*,21174~222205,*,9~13,*,*,*, White,*,0,0,24~45,*, >50k
17~50,*,30653~477983,*,5~14,*,*,*,*,*,0~2407,0,24~98, United-States, <=50k
17~50,*,30653~477983,*,5~14,*,*,*,*,*,0~2407,0,24~98, United-States, <=50k
17~50,*,30653~477983,*,5~14,*,*,*,*,*,0~2407,0,24~98, United-States, <=50k
17~50,*,30653~477983,*,5~14,*,*,*,*,*,0~2407,0,24~98, United-States, <=50k
17~50,*,30653~477983,*,5~14,*,*,*,*,*,0~2407,0,24~98, United-States, <=50k
22~44, Private,34918~279472,*,10~13,*,*,*, White,*,0~7298,0,15~48,*, >50k
22~44, Private,34918~279472,*,10~13,*,*,*, White,*,0~7298,0,15~48,*, <=50k
22~44, Private,34918~279472,*,10~13,*,*,*, White,*,0~7298,0,15~48,*, <=50k
22~44, Private,34918~279472,*,10~13,*,*,*, White,*,0~7298,0,15~48,*, >50k
22~44, Private,34918~279472,*,10~13,*,*,*, White,*,0~7298,0,15~48,*, <=50k
21~60,*,97688~425161,*,9~14,*,*,*,*,*,0~15024,0,40~45, United-States, >50k
21~60,*,97688~425161,*,9~14,*,*,*,*,*,0~15024,0,40~45, United-States, <=50k
21~60,*,97688~425161,*,9~14,*,*,*,*,*,0~15024,0,40~45, United-States, <=50k
21~60,*,97688~425161,*,9~14,*,*,*,*,*,0~15024,0,40~45, United-States, <=50k
21~60,*,97688~425161,*,9~14,*,*,*,*,*,0~15024,0,40~45, United-States, >50k
25~50, Private,176609~371987,*,4~15,*,*,*, White,*,0,0,40~60,*, >50k
25~50, Private,176609~371987,*,4~15,*,*,*, White,*,0,0,40~60,*, <=50k
25~50, Private,176609~371987,*,4~15,*,*,*, White,*,0,0,40~60,*, <=50k
25~50, Private,176609~371987,*,4~15,*,*,*, White,*,0,0,40~60,*, <=50k
25~50, Private,176609~371987,*,4~15,*,*,*, White,*,0,0,40~60,*, <=50k
21~65,*,111095~248402,*,9~13,*,*,*,*,*,0,0,16~56, United-States, <=50k
21~65,*,111095~248402,*,9~13,*,*,*,*,*,0,0,16~56, United-States, <=50k
21~65,*,111095~248402,*,9~13,*,*,*,*,*,0,0,16~56, United-States, <=50k
21~65,*,111095~248402,*,9~13,*,*,*,*,*,0,0,16~56, United-States, <=50k
21~65,*,111095~248402,*,9~13,*,*,*,*,*,0,0,16~56, United-States, <=50k
24~48,*,57424~278130,*,9~14,*,*,*,*,*,0~7688,0,40~80,*, <=50k
24~48,*,57424~278130,*,9~14,*,*,*,*,*,0~7688,0,40~80,*, <=50k
24~48,*,57424~278130,*,9~14,*,*,*,*,*,0~7688,0,40~80,*, <=50k
24~48,*,57424~278130,*,9~14,*,*,*,*,*,0~7688,0,40~80,*, <=50k
24~48,*,57424~278130,*,9~14,*,*,*,*,*,0~7688,0,40~80,*, >50k
21~55, Private,153718~303296,*,9~10,*,*,*,*,*,0~4386,0,25~45,*, <=50k
21~55, Private,153718~303296,*,9~10,*,*,*,*,*,0~4386,0,25~45,*, >50k
